N,T,CPU_TIME,WALL_TIME
1000000000,1,19.219000,19.210326
1000000000,2,13.797000,13.791131
1000000000,4,12.780000,12.787560
1000000000,8,12.586000,12.581983
1000000000,16,13.381000,13.367179
1000000000,32,12.868000,12.866936
1000000000,64,11.933000,11.934760
1000000000,128,11.602000,11.602227
1000000000,256,11.807000,11.807335
1000000000,512,11.529000,11.529323
1000000000,1024,11.556000,11.556704
